transaction_id,amount_minor,amount_log,mcc,mcc_risk,hour_of_day,weekend,velocity_5m,device_trust,network_trust,impossible_travel,new_device,distance_km,is_fraud
tx_00000,2867,7.961370201719511,4814,0.55,17,1,4,-1,1,0,0,1.86,0
tx_00001,4870,8.491054533806542,5814,0.3,2,0,1,-1,1,0,0,9.11,0
tx_00002,10547,9.263691547473178,5812,0.45,5,1,1,1,1,0,0,1.59,0
tx_00003,4484,8.408493774492896,5412,0.2,18,0,9,0,1,0,0,35.66,0
tx_00004,6252,8.740816627567298,5412,0.2,19,1,2,1,1,1,0,3899.67,1
tx_00005,12388,9.424564261115739,6011,0.85,3,1,2,1,1,0,0,4.69,0
tx_00006,5848,8.674025985443025,4814,0.55,21,0,3,1,1,0,0,2.35,0
tx_00007,10096,9.219993629004321,5812,0.45,20,0,0,1,1,0,0,6.44,0
tx_00008,36985,10.518294741644821,4829,0.8,20,0,2,1,1,0,0,1.9,0
tx_00009,6918,8.842026529498812,4814,0.55,5,0,5,1,1,0,0,6.17,0
tx_00010,24973,10.125590562675091,5691,0.35,16,1,0,1,1,0,0,7.69,0
tx_00011,13857,9.536617962187327,7995,0.3,3,0,1,1,1,0,0,9.15,0
tx_00012,2021,7.611842399580417,5814,0.3,4,0,1,1,0,0,0,39.4,0
tx_00013,2859,7.958576903813898,5814,0.3,1,0,3,1,1,0,0,4.47,0
tx_00014,3690,8.213652703029998,5814,0.3,11,1,0,-1,1,0,0,3.4,0
tx_00015,3616,8.193400231952097,5968,0.7,17,1,1,1,1,0,0,3.78,0
tx_00016,7476,8.919586920999915,5691,0.35,4,0,4,0,0,0,0,0.83,0
tx_00017,14604,9.58911921482184,4814,0.55,4,0,2,-1,1,0,0,15.08,0
tx_00018,26838,10.197611332567385,5968,0.7,6,0,2,1,1,0,0,1.47,0
tx_00019,10915,9.29798488182823,5412,0.2,4,0,9,0,1,0,0,16.94,0
tx_00020,5334,8.582044163735853,5691,0.35,19,0,1,1,1,0,0,1.66,0
tx_00021,1127,7.028201432058005,5411,0.1,4,1,3,-1,1,0,0,0.65,0
tx_00022,8710,9.072341873818893,4829,0.8,6,0,3,1,0,0,0,0.27,0
tx_00023,8347,9.029777268197092,6011,0.85,7,1,2,0,1,0,0,13.73,0
tx_00024,9691,9.179056081936416,5814,0.3,4,0,1,1,1,0,0,22.44,0
tx_00025,60240,11.006108462601597,5812,0.45,22,0,3,1,1,0,0,7.52,0
tx_00026,26469,10.183767295221147,5411,0.1,5,0,5,0,1,0,0,1.39,0
tx_00027,17171,9.751035429344451,5968,0.7,11,0,6,0,1,0,0,1.17,0
tx_00028,3266,8.09162741160107,5691,0.35,13,0,3,0,1,1,0,2864.77,1
tx_00029,5003,8.517992871586802,5412,0.2,6,1,1,-1,1,0,0,14.32,0
tx_00030,7443,8.915163617762142,5412,0.2,11,1,7,0,1,0,1,3.44,0
tx_00031,3899,8.268731832117737,4900,0.1,4,1,3,1,1,0,0,0.82,0
tx_00032,13103,9.480672806092851,4814,0.55,11,0,0,-1,1,0,0,1.65,0
tx_00033,11433,9.344346651823917,5691,0.35,0,1,1,1,1,0,0,6.07,0
